City,District,Sale_m2,Rent_m2,RelativePriceToRent
Alytus,Putinai,890.5286900107458,6.6797021593861245,133.31862241183921
Kaunas,Sargėnai,1015.8645945398894,7.271306818070798,139.70866860070356
Vilnius,Naujoji Vilnia,1277.7220439205557,8.728686607469399,146.38193595210197
Klaipėda,Žvejybos uostas,1115.258844708529,7.416462102498372,150.37612668887414
Vilnius,Pavilnys,1276.2740149079546,8.335444766192609,153.11408697521966
Kaunas,Aukštieji Šančiai,1314.8515489622077,8.512945942947908,154.45317728716765
Klaipėda,Poilsis,1086.851521929144,6.2397995689137815,174.18051812813948
Panevėžys,Centras,1075.5110818383255,6.105458946874336,176.15564877214166
Šiauliai,Centras,1204.4828134911077,6.828773189959975,176.38348499581187
Vilnius,Žemieji Paneriai,1630.4987524684984,9.11530877471455,178.874769112751
Vilnius,Balsiai,1550.934140793368,8.664627549758734,178.9960540007924
Kaunas,Romainiai,1471.2419180533034,8.148052907897181,180.56361865634915
Kaunas,Aleksotas,1770.2440189330955,9.753629069112776,181.49593411738417
Vilnius,Naujininkai,1902.0915472280467,10.47908548682608,181.51312436751147
Kaunas,Kalniečiai,1323.7008999763348,7.232386620602256,183.0240789680167
Klaipėda,Mokykla,1436.5737119821133,7.769081167975401,184.9090878215757
Kaunas,Panemunė,1433.7780119212985,7.739102082139652,185.26412970183972
Kaunas,Žemieji Šančiai,1766.9791165132192,9.372051211870712,188.53707438934498
Kaunas,Dainava,1536.043468176329,8.132708178625307,188.87232081109426
Šiauliai,Dainiai,1081.7709618718654,5.648762308392975,191.50583841429506
Kaunas,Šilainiai,1428.7416471907054,7.422656904244263,192.48385930026663
Panevėžys,Žemaičiai,810.5184042260807,4.194709214645087,193.2239787674194
Vilnius,Vilkpėdė,1875.3475291653594,9.537800060031032,196.62265064919572
Vilnius,Rasos,2003.6213116115541,10.138432503477816,197.62634025765286
Klaipėda,Tauralaukis,1838.9164407848148,9.228025681763029,199.2751758828533
Kaunas,Žemutiniai Kaniūkai,1739.3486335657071,8.619420463589222,201.79415088441144
Šiauliai,Žaliūkiai,1134.2797016809054,5.59720840015666,202.65096823072696
Vilnius,Pilaitė,1983.7632426997006,9.770302770956505,203.04009908441066
Kaunas,Eiguliai,1541.7886860485305,7.590328951820993,203.12541074766472
Vilnius,Justiniškės,1857.37331993744,9.057472870737683,205.06529210130185
Klaipėda,Debrecenas,1183.7469489605573,5.768764577913771,205.19938592963874
Kaunas,Petrašiūnai,1456.4533681563335,7.096147717197823,205.24563836608914
Vilnius,Grigiškės,1530.7462519053079,7.442940937256935,205.66416753932458
Šiauliai,Lieporiai,1080.1196299772128,5.206754898773852,207.4458373739797
Vilnius,Lazdynai,1859.6411768803373,8.947646228233452,207.83579607924318
Vilnius,Lazdynėliai,2218.9665120890713,10.663740388340784,208.0851963083405
Vilnius,Pašilaičiai,1900.9658186065499,9.075428864512105,209.46291872111388
Kaunas,Žaliakalnis,1832.7066962332465,8.721979631114095,210.1250832661194
Vilnius,Fabijoniškės,1814.14440952937,8.507176869556588,213.24870016766528
Klaipėda,Miškas,1614.8047482799448,7.513972470653016,214.90692900284304
Šiauliai,Gytariai,1051.963839025324,4.8498940759200195,216.90449782158748
Vilnius,Valakampiai,2744.1723676551046,12.644245744195132,217.02934466572918
Klaipėda,Kaunas,1453.0633421903185,6.687162198051624,217.2914756895958
Klaipėda,Centras,1937.2620799875003,8.809253288779132,219.91217830631635
Vilnius,Šnipiškės,3041.0234964837437,13.780858273036301,220.67010894624946
Vilnius,Bajorai,2029.5792159699195,9.133056877041781,222.22342894543596
Klaipėda,Sportininkai,1458.354249401542,6.543734847440618,222.86267451254272
Vilnius,Žirmūnai,2417.3522772482247,10.80545785697359,223.7158581566372
Kaunas,Vilijampolė,1775.7304947028751,7.9363925766060675,223.74529454820035
Alytus,Vidzgiris,1132.3163259492721,5.060015324494998,223.77725230748786
Vilnius,Markučiai,3134.7192455504555,13.957962174799377,224.58287293614276
Klaipėda,Rumpiškės,1347.7801395605347,5.9876066360918685,225.094970574125
Vilnius,Baltupiai,2434.7534751041094,10.798493272020778,225.47159254269567
Vilnius,Jeruzalė,1938.6015014810546,8.582459345057941,225.87948553433745
Klaipėda,Vingis,1170.9678349704482,5.156782145661964,227.07335735629255
Kaunas,Senamiestis,2490.8327880651923,10.953523102953568,227.40014921715465
Vilnius,Santariškės,2159.1313081377302,9.473485278225553,227.91309056028322
Klaipėda,Vėtrungė,1679.739051382203,7.3465289764103545,228.64390200812267
Klaipėda,Naujakiemis,1157.1285435733007,5.045929066648,229.31922511982094
Klaipėda,Baltija,1379.5869775598694,5.979449984670339,230.72138425720593
Vilnius,Viršuliškės,2084.4226015724707,8.910052902241887,233.94054159296883
Kaunas,Centras,2454.9672324283165,10.478181936967985,234.29324354132154
Klaipėda,Bandužiai,1014.2193108279171,4.328774663678018,234.29709089226836
Panevėžys,Pilėnai,1062.1661893291748,4.531725248515471,234.384507241944
Vilnius,Šeškinė,2148.025604561961,9.14071070693194,234.99546954625598
Vilnius,Karoliniškės,2044.9442429343471,8.658725495453211,236.1715063040362
Vilnius,Filaretai,2618.4700639084913,10.806251394827314,242.31067446403185
Vilnius,Verkiai,2530.4415803016745,10.341333449842082,244.69200152716434
Klaipėda,Alksnynė,1388.9110175475216,5.663025350531598,245.25954442657442
Vilnius,Visoriai,2377.335120520962,9.590223531406991,247.8915233555751
Klaipėda,Senamiestis,2452.1451775017777,9.88472874723061,248.07409896693335
Klaipėda,Žardininkai,1218.1374434763275,4.840428792579644,251.65899462124653
Vilnius,Naujamiestis,3209.695754787652,12.676571681704445,253.19903798753955
Vilnius,Užupis,4010.271860473091,15.672612864073926,255.87768263361951
Vilnius,Šiaurės miestelis,2514.025758582691,9.824406854873814,255.89593302882218
Vilnius,Antakalnis,2775.8513715382433,10.739067355716543,258.48160548696274
Vilnius,Paupys,5689.676075908821,21.762772583493643,261.4407724971705
Panevėžys,Klaipėdos,1065.7520082127594,4.061666133491235,262.3928144720956
Klaipėda,Laukininkai,1107.0030349187582,4.207453411794688,263.1052388638491
Panevėžys,Kniaudiškiai,1197.9713946193224,4.547003566906085,263.4639223374213
Vilnius,Senamiestis,3940.5499996989965,14.85753420381684,265.22234077621613
Kaunas,Freda,2136.721194080659,7.984991199674624,267.59217895790886
Vilnius,Žvėrynas,3607.950666457298,13.417997566096574,268.88890452429007
Vilnius,Kalnėnai,1793.3701791259227,6.664813113246964,269.0803400865697
Panevėžys,Molainiai,1106.35257394964,3.962322967600052,279.2181715110793
Klaipėda,Mažasis kaimelis,1856.9561098506965,6.247127360314153,297.2496001357838
Palanga,Šventoji,2625.329246835434,8.325966972965489,315.3182393540484
Palanga,Palanga,3200.6439371653832,10.139182987225922,315.6707933171525
Klaipėda,Melnragė,2037.3912470581708,4.381197650093327,465.0306627948572
