Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,City,District,href
37880,1894,20.0,1,3,1,1987-01-01,"Electric, aerothermal",Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-demesio-liko-paskutiniai-butai-1-3087059/
76000,1363,55.75,3,3,2,2022-01-01,"Electric, aerothermal",Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-meguvos-g-poilsio-apartamentai-per-du-aukstus-1-3262040/
26964,1498,18.0,2,3,2,1998-01-01,"Electric, aerothermal, other",Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-meguvos-g-demesio-liko-3-butai-kaina-nuo-1350-eur-1-3013611/
27200,1600,17.0,2,5,2,2019-01-01,"Electric, aerothermal, other",Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-meguvos-g-poilsis-kitaip-apartamentai-tai-itin-1-3034605/
189000,2779,68.0,2,3,2,2006-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-apartamentai-arciau-juros-nebuna-1-3176588/
151500,2386,63.5,1,2,3,2022-01-01,"Electric, sun energy",Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-elijos-g-top-4-perkamiausiu-projektu-pajuryje-su-1-3186232/
51500,2341,22.0,1,3,1,1987-01-01,Electric,Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-jaukus-su-pilna-apdaila-butas-1-3201321/
129600,2700,48.0,1,8,2,2012-01-01,Gas,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-naujai-suremontuotas-dvieju-1-3264266/
36500,2147,17.0,1,3,1,1998-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodami-butai-bute-atliktas-kapitalinis-1-3226902/
75000,1974,38.0,3,3,2,1990-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-vilties-tak-parduodamas-2-kambariu-butas-sventojoje-1-3259578/
195000,3611,54.0,1,2,2,2021-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-prieplaukos-g-parduodami-moderniai-ir-kokybiskai-irengti-1-3258782/
142000,2358,60.21,5,6,2,2010-01-01,"Central thermostat, gas",Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-apartamentai-prie-juros-parduodami-1-3258256/
84999,1758,48.35,2,3,2,1988-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-meguvos-g-parduodami-labai-tvarkingi-pilnai-irengti-1-3197331/
74000,1966,37.64,3,4,1,1991-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-vieno-kambario-butas-sventojoje-1-3255306/
75900,2256,33.64,1,4,1,2006-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-1-kambario-butas-ne-poilsio-1-3253849/
93900,1341,70.0,1,4,3,1994-01-01,Gas,Other,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-lieknu-g-parduodamas-70-m2-butas-palangoje-sventoji-1-3253715/
170000,1985,85.64,4,4,4,1996-01-01,Gas,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-pusyno-g-parduodamas-4-kambariu-butas-sventojoje-1-3263504/
59000,756,78.0,3,3,2,1984-01-01,Electric,Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-meguvos-g-poilsio-apartamentai-per-du-aukstus-1-3253467/
131000,2397,54.65,2,7,2,2010-01-01,Gas,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodomas-butas-elijos-komplekse-sventojoje-1-3222068/
190000,5262,36.11,2,2,2,2020-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-prieplaukos-g-bustas-prie-baltijos-juros-nutoles-vos-500-1-3189050/
70000,2108,33.21,2,4,1,1991-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-isikurk-savo-buste-prie-juros-jau-siandien-1-3199363/
70000,2806,24.95,3,4,1,1991-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-isikurk-savo-buste-prie-juros-jau-siandien-1-3212830/
139000,2527,55.0,2,6,2,2010-01-01,Central thermostat,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-puikus-dvieju-kambariu-irengtas-1-3213608/
90500,2155,42.0,2,3,2,2022-01-01,"Electric, sun energy",Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-kregzdziu-g-atnaujinta-pastatai-06-16-d-iregistruoti-nt-1-3214602/
130000,2167,60.0,1,2,3,1974-01-01,Central,Other,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-zuvedru-g-3-ju-kmb-butas-su-ukiniu-muriniu-sandeliuku-1-3242571/
178000,4999,35.61,4,4,2,2017-01-01,Gas,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-isskirtinio-jaukumo-2-kambariu-1-3218454/
245000,2722,90.0,1,1,4,2008-01-01,Gas,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-gulbiu-g-parduodamas-jaukiai-irengtas-dvieju-aukstu-1-2933553/
127000,2954,42.99,1,1,2,2022-01-01,Gas,Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-2-kambario-butas-dar-statomame-1-3028911/
198000,2712,73.0,4,4,3,1991-01-01,Central,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-pusyno-g-parduodamas-3-kambariu-butas-sventojoje-1-3239136/
135000,2755,49.0,1,7,2,2010-01-01,"Electric, gas",Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-apartamentai-orientuoti-i-pietryciu-puse-1-3169526/
137218,2300,59.66,1,3,3,2022-01-01,Electric,Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-naujas-bustas-jusu-seimai-gyvenimui-prie-1-3262394/
130728,3900,33.52,2,4,1,2022-01-01,Gas,Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-1-kambario-butas-dar-statomame-1-3028915/
105765,3300,32.05,4,4,1,2022-01-01,Gas,Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-1-kambario-butas-dar-statomame-1-3026093/
56000,2667,21.0,1,2,1,2022-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-paupio-g-naras-penkiu-butu-poilsio-namas-1-3216034/
51500,2341,22.0,1,3,1,1987-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-1-kambario-butas-mokyklos-g-sventojoje-1-3266592/
128500,2380,54.0,2,9,2,2020-01-01,Central thermostat,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-2-kambariu-butas-mokyklos-g-sventojoje-1-3256428/
86823,2773,31.31,2,3,2,2022-01-01,Electric,Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-pristatome-naujai-vystoma-32-gyvenamuju-butu-1-3264540/
131187,2120,61.87,1,3,3,2022-01-01,Electric,Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-gyvenimas-kaip-atostogos-ant-bangos-1-3264408/
139530,2791,50.0,1,7,2,2010-01-01,Central thermostat,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-dvieju-kambariu-butas-su-terasa-1-3195354/
115000,3617,31.79,5,7,1,2018-01-01,Central thermostat,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-studio-tipo-butas-su-balkonu-1-3223404/
182000,2866,63.5,1,2,3,2022-01-01,"Electric, sun energy",Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-elijos-g-nepraleiskite-progos-apziureti-isskirtiniu-1-3209623/
195000,2987,65.28,4,4,3,2008-01-01,Gas,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-meguvos-g-iki-papludimio-tik-500-metru-sventojoje-1-3256166/
175000,2917,60.0,3,6,2,2021-01-01,Gas,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-dvieju-kambariu-butas-elijos-1-3255938/
245000,4900,50.0,1,3,2,2020-01-01,"Electric, aerothermal",Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-prieplaukos-g-butas-sventosios-vartu-projekte-1-3255328/
96000,2145,44.76,1,2,2,1966-01-01,"Electric, gas, other",Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-zuvedru-g-sventojoje-parduodamas-erdvus-sviesus-1-3252717/
70000,1614,43.37,4,4,2,1986-01-01,Central,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-lieknu-g-puiki-galimybe-susikurti-savo-svajoniu-namus-1-3252709/
180000,2831,63.58,4,8,2,2010-01-01,Central thermostat,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-2-kambariu-butas-mokyklos-g-sventojoje-1-3247751/
87000,2009,43.31,1,4,2,2006-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-2-kambariu-butas-sventojoje-1-3233568/
89900,2140,42.0,2,3,2,2022-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-kregzdziu-g-aprasymas-2022m-spalis-jau-kyla-trecias-1-3221480/
94000,1424,66.0,3,3,3,1988-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-meguvos-g-parduodamas-3-kambariu-butas-meguvos-g-1-3223866/
95000,1573,60.38,2,4,2,1988-01-01,Electric,Fully equipped,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-irengtas-2-kambariu-erdvus-butas-1-3223272/
153387,3900,39.33,1,1,2,2022-01-01,Gas,Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-2-kambario-butas-dar-statomame-1-3028895/
176812,3750,47.15,2,4,2,2022-01-01,Gas,Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-2-kambario-butas-dar-statomame-1-3026119/
150282,3300,45.54,4,4,2,2022-01-01,Gas,Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-2-kambariu-butas-dar-statomame-1-3026101/
117018,3300,35.46,4,4,1,2022-01-01,Gas,Partial decoration,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-1-kambario-butas-dar-statomame-1-3026099/
